trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.97, 'e': 0.007417357591013403}",20,10,15.390984442988273,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.97, 'e': 0.007194836863283}",20,10,19.99583176932788,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.97, 'e': 0.0069789917573845105}",30,12,32.057505748598686,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.97, 'e': 0.006769622004662975}",20,9,21.746169619792123,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.97, 'e': 0.006566533344523086}",35,21,28.367816244767774,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.97, 'e': 0.006369537344187393}",25,8,30.185854939585347,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.97, 'e': 0.006178451223861771}",30,13,23.70894835137939,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.97, 'e': 0.005993097687145918}",20,16,7.379691425928665,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.97, 'e': 0.00581330475653154}",20,6,25.43441279072822,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.97, 'e': 0.005638905613835593}",25,13,25.405980764911803,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.97, 'e': 0.005469738445420525}",20,16,6.125683159497905,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.97, 'e': 0.00530564629205791}",20,16,9.319519249281438,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.97, 'e': 0.005146476903296172}",20,16,6.23519632988218,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.97, 'e': 0.004992082596197287}",20,10,20.169990062585995,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.97, 'e': 0.004842320118311368}",20,8,20.89520000002122,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.97, 'e': 0.004697050514762027}",20,4,27.84821024327632,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.97, 'e': 0.004556138999319166}",25,9,27.741386075506288,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.97, 'e': 0.004419454829339591}",25,20,9.029199249074539,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.97, 'e': 0.004286871184459403}",20,9,20.685043643457114,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.97, 'e': 0.004158265048925621}",25,11,24.07889296318439,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.97, 'e': 0.004033517097457852}",25,16,-4.144807447666826,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
182,False,"{'a': 0.97, 'e': 0.003912511584534117}",25,15,16.70823992451206,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.97, 'e': 0.0037951362369980928}",20,13,15.328781544002752,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
