trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
344,False,"{'a': 0.005, 'e': 0.17906614791149322}",20,10,14.240951902748606,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.005, 'e': 0.1781730517728984}",25,8,14.583611611476389,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
346,False,"{'a': 0.005, 'e': 0.17728440996987782}",25,6,31.121790602747655,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.005, 'e': 0.17640020028634}",25,9,24.217017683009033,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.005, 'e': 0.17552040061699686}",20,5,24.058379010631615,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.005, 'e': 0.17464498896681085}",20,0,4.360227893374528,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
350,False,"{'a': 0.005, 'e': 0.17377394345044514}",20,8,5.683983226531162,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
351,False,"{'a': 0.005, 'e': 0.17290724229171636}",20,0,13.818532137510436,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
352,False,"{'a': 0.005, 'e': 0.17204486382305054}",30,15,21.47177032299881,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.005, 'e': 0.1711867864849409}",20,10,17.129170480375212,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.005, 'e': 0.17033298882540943}",20,0,17.288166841595153,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
355,False,"{'a': 0.005, 'e': 0.16948344949947006}",20,8,25.936101182454582,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.005, 'e': 0.1686381472685955}",30,18,20.18247511791087,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.005, 'e': 0.16779706100018585}",25,10,14.512365113122376,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
358,False,"{'a': 0.005, 'e': 0.1669601696670407}",25,3,12.418151171714358,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
359,False,"{'a': 0.005, 'e': 0.16612745234683307}",20,0,31.155859023868246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
360,False,"{'a': 0.005, 'e': 0.16529888822158653}",20,12,2.7252449838821917,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
361,False,"{'a': 0.005, 'e': 0.1644744565771549}",25,11,19.42858593051944,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.005, 'e': 0.16365413680270405}",25,11,26.124318124925228,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.005, 'e': 0.16283790839019696}",20,11,17.25532801025737,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.005, 'e': 0.16202575093388075}",20,6,12.554838757799033,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
365,False,"{'a': 0.005, 'e': 0.16121764412977677}",20,11,12.72738485798653,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.005, 'e': 0.16041356777517274}",30,10,-12.78525864647614,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
367,False,"{'a': 0.005, 'e': 0.15961350176811803}",20,8,-21.221198720992007,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
368,False,"{'a': 0.005, 'e': 0.15881742610692068}",20,15,8.95020864373075,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.005, 'e': 0.1580253208896478}",25,11,12.934943900162919,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
370,False,"{'a': 0.005, 'e': 0.1572371663136276}",30,16,-72.7210239317986,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
371,False,"{'a': 0.005, 'e': 0.15645294267495474}",20,13,14.405571827919058,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.005, 'e': 0.1556726303679973}",20,10,8.253328780314439,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
373,False,"{'a': 0.005, 'e': 0.15489620988490704}",20,7,2.2133267090868167,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
374,False,"{'a': 0.005, 'e': 0.1541236618151314}",20,0,0.6071015490888394,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
375,False,"{'a': 0.005, 'e': 0.15335496684492847}",25,14,-4.529980574301533,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
376,False,"{'a': 0.005, 'e': 0.15259010575688386}",20,0,-40.55393592910281,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
377,False,"{'a': 0.005, 'e': 0.1518290594294306}",30,12,-3.845809358268032,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
378,False,"{'a': 0.005, 'e': 0.15107180883637084}",35,23,9.753464296589458,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
379,False,"{'a': 0.005, 'e': 0.15031833504640033}",20,0,22.4643417854597,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
380,False,"{'a': 0.005, 'e': 0.14956861922263504}",20,8,9.679372876656817,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.005, 'e': 0.14882264262214037}",25,5,37.4665651255832,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.005, 'e': 0.14808038659546244}",30,7,18.78437099648969,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.005, 'e': 0.14734183258616193}",20,7,17.964618104218435,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.005, 'e': 0.14660696213035015}",20,8,15.199561373800298,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.005, 'e': 0.14587575685622736}",25,18,-26.389143926646774,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
